"day"	"slot"	"time"	"pillar"	"topic"	"visual"	"caption"	"cta"	"link"	"status"
"22"	"AM"	"09:15"	"Educativo"	"Cuando Excel deja de ser suficiente"	"assets/social/reels/02-excel-a-sistema-reel.mp4"	"Excel ayuda al inicio, pero cuando el negocio crece aparecen errores: datos duplicados, tareas sin responsable, pedidos perdidos y reportes lentos. Un sistema interno no reemplaza el orden; lo convierte en proceso."	"Senal para guardar: si buscas la misma informacion en tres lugares, ya necesitas estructura."	"https://ycsystems.io/contact/"	"Ready"
"22"	"PM"	"15:15"	"Prueba real"	"Antony Real Estate como presencia profesional"	"assets/social/static-feed-v3/04-antony-caso-v3.jpg"	"Antony Real Estate muestra como un asesor inmobiliario puede presentarse con mas confianza: oferta clara, acompanamiento, contacto directo y una pagina pensada para generar credibilidad."	"Ejemplo real: cuando vendes confianza, tu presencia digital tiene que hablar por ti."	"https://ycsystems.io/projects/"	"Ready"
"23"	"AM"	"09:15"	"Educativo"	"Automatizar no es reemplazar personas"	"assets/social/static-feed-v3/05-automatizar-v3.jpg"	"Automatizar no significa quitar el trato humano. Significa eliminar tareas repetidas para que el equipo pueda enfocarse en vender, atender mejor y tomar decisiones con informacion clara."	"Pregunta clave: que tarea haces cada semana que podria quedar automatizada?"	"https://ycsystems.io/contact/"	"Ready"
"23"	"PM"	"15:15"	"Prueba real"	"LPS Company como grupo empresarial"	"assets/social/static-feed-v3/06-lps-caso-v3.jpg"	"LPS Company necesitaba una base digital mas seria para presentar sus marcas y servicios. Una pagina corporativa no solo informa: ordena la percepcion de la empresa."	"Leccion: cuando una empresa crece, su marca digital debe crecer con ella."	"https://ycsystems.io/projects/"	"Ready"
"24"	"AM"	"09:15"	"Educativo"	"Una tienda online debe reducir dudas"	"assets/social/static-feed-v3/07-tienda-dudas-v3.jpg"	"Una tienda online vende mejor cuando responde las preguntas antes de que el cliente escriba: precio, talla, categoria, disponibilidad, forma de pedido y confianza. Menos dudas, mas conversion."	"Tip: si tu cliente pregunta siempre lo mismo, eso debe estar mejor explicado en la tienda."	"https://ycsystems.io/contact/"	"Ready"
"24"	"PM"	"15:15"	"Producto"	"CleanLoop: operaciones de lavanderia"	"assets/social/static-feed-v3/08-cleanloop-v3.jpg"	"CleanLoop representa una idea importante: negocios de servicios pueden operar con pedidos, rutas, estados, clientes, pagos y reportes en una plataforma. Ese tipo de orden abre espacio para crecer."	"No es solo una app; es una forma de operar mejor."	"https://ycsystems.io/products/"	"Ready"
"25"	"AM"	"09:15"	"Educativo"	"Un SaaS empieza con un proceso real"	"assets/social/static-feed-v3/09-saas-proceso-v3.jpg"	"Un SaaS no empieza con una app gigante. Empieza con un problema repetido, un usuario claro y un proceso que se puede ordenar. Primero se valida el flujo; luego se escala el producto."	"Guarda esta idea si tienes una plataforma en mente."	"https://ycsystems.io/products/"	"Ready"
"25"	"PM"	"15:15"	"Producto"	"SOC: control comercial"	"assets/social/static-feed-v3/10-soc-v3.jpg"	"SOC esta pensado para operaciones comerciales que necesitan ver disponibilidad, reservas, separaciones, reportes y estados desde un solo lugar. Menos confusion, mas control."	"Para empresas que manejan muchas piezas, centralizar informacion cambia el juego."	"https://ycsystems.io/products/"	"Ready"
"26"	"AM"	"09:15"	"Educativo"	"El mantenimiento tambien vende"	"assets/social/static-feed-v3/11-mantenimiento-v3.jpg"	"Una web abandonada pierde fuerza: textos viejos, enlaces rotos, ofertas desactualizadas y contenido sin ritmo. El mantenimiento mantiene la marca viva y lista para oportunidades."	"Revisa hoy: tu web todavia representa el nivel actual de tu negocio?"	"https://ycsystems.io/contact/"	"Ready"
"26"	"PM"	"15:15"	"Producto"	"BrokerControl: seguimiento inmobiliario"	"assets/social/static-feed-v3/12-brokercontrol-v3.jpg"	"BrokerControl organiza clientes, pipeline, agenda y seguimiento inmobiliario. En ventas, perder una oportunidad por falta de control puede costar mas que construir el sistema."	"La tecnologia correcta no presiona al cliente; ayuda a atenderlo mejor."	"https://ycsystems.io/products/"	"Ready"
"27"	"AM"	"09:15"	"Educativo"	"Un dashboard no es solo graficos"	"assets/social/static-feed-v3/13-dashboard-v3.jpg"	"Un dashboard sirve cuando ayuda a decidir. Debe mostrar ventas, reservas, inventario, pagos, estados o alertas de forma clara. Si solo se ve bonito pero no responde preguntas, no esta cumpliendo su trabajo."	"Dato util: un buen dashboard reduce reuniones innecesarias."	"https://ycsystems.io/contact/"	"Ready"
"27"	"PM"	"15:15"	"Marca"	"Nexus y la forma de construir"	"assets/social/reels/04-nexus-proceso-reel.mp4"	"Nexus representa la forma de trabajar de YC Systems: analizar, disenar, construir y entregar soluciones digitales que convierten operaciones reales en resultados claros."	"No todo contenido debe vender; tambien debe explicar como pensamos."	"https://ycsystems.io/"	"Ready"
"28"	"AM"	"09:15"	"Educativo"	"Un CRM cuida oportunidades"	"assets/social/static-feed-v3/15-crm-v3.jpg"	"Un CRM evita que los clientes se pierdan entre chats, notas y memoria. Sirve para dar seguimiento, saber en que etapa esta cada persona y no depender de recordar todo manualmente."	"Senal clara: si olvidas dar seguimiento, necesitas CRM."	"https://ycsystems.io/contact/"	"Ready"
"28"	"PM"	"15:15"	"Oferta suave"	"Que puede construir YC Systems"	"assets/social/static-feed-v3/16-yc-construye-v3.jpg"	"YC Systems puede construir webs, tiendas online, sistemas internos, dashboards, SaaS MVP, apps, automatizaciones y mantenimiento. Pero el punto no es la lista; es resolver un problema real del negocio."	"Cuando el problema esta claro, la solucion se construye mejor."	"https://ycsystems.io/contact/"	"Ready"
"29"	"AM"	"09:15"	"Educativo"	"Mobile-first ya no es opcional"	"assets/social/reels/01-web-confianza-reel.mp4"	"Muchos clientes llegan desde Instagram, WhatsApp o busquedas en el celular. Si la experiencia movil falla, el negocio pierde oportunidades antes de conversar."	"Prueba rapida: abre tu web en el celular y mira si comprarias o escribirias."	"https://ycsystems.io/projects/"	"Ready"
"29"	"PM"	"15:15"	"Oferta suave"	"Antes de cotizar hay que entender"	"assets/social/static-feed-v3/18-cotizar-v3.jpg"	"Antes de hablar de precio, hay que entender objetivo, alcance, prioridad y resultado esperado. Una propuesta seria nace de un diagnostico claro, no de improvisar una cifra."	"Buen proyecto empieza con buenas preguntas."	"https://ycsystems.io/contact/"	"Ready"
"30"	"AM"	"09:15"	"Educativo"	"Orden antes que tecnologia"	"assets/social/static-feed-v3/19-orden-v3.jpg"	"La tecnologia funciona mejor cuando el proceso esta claro. Primero se entiende como trabaja el negocio, luego se disena el flujo y despues se construye la solucion."	"Leccion YC Systems: buen software empieza con buen diagnostico."	"https://ycsystems.io/"	"Ready"
"30"	"PM"	"15:15"	"Autoridad"	"Software como activo del negocio"	"assets/social/static-feed-v3/20-software-activo-v3.jpg"	"Una solucion digital bien construida se convierte en activo: mejora operacion, ordena informacion, aumenta confianza y permite crecer con mas control. Esa es la vision de YC Systems."	"La meta no es tener mas pantallas; es tener mejores resultados."	"https://ycsystems.io/"	"Ready"
